Reference area,Source,Sex,Country of destination,Time,Outflow of nationals (thousands)
Belgium,ADM-PR - Registre National,Male,Total,2018,14.1
Belgium,ADM-PR - Registre National,Male,France,2018,1.7
Belgium,ADM-PR - Registre National,Male,Luxembourg,2018,0.3
Belgium,ADM-PR - Registre National,Male,Netherlands,2018,0.4
Belgium,ADM-PR - Registre National,Male,Spain,2018,0.7
Belgium,ADM-PR - Registre National,Male,United Kingdom,2018,0.5
Belgium,ADM-PR - Registre National,Male,Other countries,2018,10.5
Belgium,ADM-PR - Registre National,Female,Total,2018,12.7
Belgium,ADM-PR - Registre National,Female,France,2018,1.8
Belgium,ADM-PR - Registre National,Female,Luxembourg,2018,0.3
Belgium,ADM-PR - Registre National,Female,Netherlands,2018,0.4
Belgium,ADM-PR - Registre National,Female,Spain,2018,0.6
Belgium,ADM-PR - Registre National,Female,United Kingdom,2018,0.5
Belgium,ADM-PR - Registre National,Female,Other countries,2018,9.0
Belgium,ADM-PR - Registre National,Total,Total,2020,20.7
Belgium,ADM-PR - Registre National,Total,France,2020,2.7
Belgium,ADM-PR - Registre National,Total,Luxembourg,2020,0.3
Belgium,ADM-PR - Registre National,Total,Netherlands,2020,0.6
Belgium,ADM-PR - Registre National,Total,Spain,2020,1.0
Belgium,ADM-PR - Registre National,Total,United Kingdom,2020,0.6
Belgium,ADM-PR - Registre National,Total,Other countries,2020,15.4
Belgium,ADM-PR - Registre National,Male,Total,2020,10.8
Belgium,ADM-PR - Registre National,Male,France,2020,1.3
Belgium,ADM-PR - Registre National,Male,Luxembourg,2020,0.2
Belgium,ADM-PR - Registre National,Male,Netherlands,2020,0.3
Belgium,ADM-PR - Registre National,Male,Spain,2020,0.5
Belgium,ADM-PR - Registre National,Male,United Kingdom,2020,0.3
Belgium,ADM-PR - Registre National,Male,Other countries,2020,8.2
Belgium,ADM-PR - Registre National,Female,Total,2020,9.8
Belgium,ADM-PR - Registre National,Female,France,2020,1.4
Belgium,ADM-PR - Registre National,Female,Luxembourg,2020,0.1
Belgium,ADM-PR - Registre National,Female,Netherlands,2020,0.3
Belgium,ADM-PR - Registre National,Female,Spain,2020,0.5
Belgium,ADM-PR - Registre National,Female,United Kingdom,2020,0.3
Belgium,ADM-PR - Registre National,Female,Other countries,2020,7.2
Belgium,ADM-PR - Registre National,Total,Total,2021,24.2
Belgium,ADM-PR - Registre National,Total,France,2021,2.6
Belgium,ADM-PR - Registre National,Total,Germany,2021,0.4
Belgium,ADM-PR - Registre National,Total,Netherlands,2021,0.6
Belgium,ADM-PR - Registre National,Total,Spain,2021,1.1
Belgium,ADM-PR - Registre National,Total,United Kingdom,2021,0.7
Belgium,ADM-PR - Registre National,Total,Other countries,2021,18.9
Belgium,ADM-PR - Registre National,Male,Total,2021,12.8
Belgium,ADM-PR - Registre National,Male,France,2021,1.3
Belgium,ADM-PR - Registre National,Male,Germany,2021,0.2
Belgium,ADM-PR - Registre National,Male,Netherlands,2021,0.3
Belgium,ADM-PR - Registre National,Male,Spain,2021,0.5
Belgium,ADM-PR - Registre National,Male,United Kingdom,2021,0.3
Belgium,ADM-PR - Registre National,Male,Other countries,2021,10.1
Belgium,ADM-PR - Registre National,Female,Total,2021,11.5
Belgium,ADM-PR - Registre National,Female,France,2021,1.3
Belgium,ADM-PR - Registre National,Female,Germany,2021,0.2
Belgium,ADM-PR - Registre National,Female,Netherlands,2021,0.3
Belgium,ADM-PR - Registre National,Female,Spain,2021,0.5
Belgium,ADM-PR - Registre National,Female,United Kingdom,2021,0.3
Belgium,ADM-PR - Registre National,Female,Other countries,2021,8.8
Bulgaria,ADM-PR - Population Register,Total,Total,2017,27.0
Bulgaria,ADM-PR - Population Register,Male,Total,2017,13.2
Bulgaria,ADM-PR - Population Register,Female,Total,2017,13.8
Bulgaria,ADM-PR - Population Register,Total,Total,2018,31.3
Bulgaria,ADM-PR - Population Register,Total,France,2018,2.1
Bulgaria,ADM-PR - Population Register,Total,Germany,2018,8.1
Bulgaria,ADM-PR - Population Register,Total,Italy,2018,2.5
Bulgaria,ADM-PR - Population Register,Total,Spain,2018,2.4
Bulgaria,ADM-PR - Population Register,Total,United Kingdom,2018,5.9
Bulgaria,ADM-PR - Population Register,Total,Other countries,2018,10.3
Bulgaria,ADM-PR - Population Register,Male,Total,2018,15.9
Bulgaria,ADM-PR - Population Register,Male,France,2018,1.1
Bulgaria,ADM-PR - Population Register,Male,Germany,2018,4.1
Bulgaria,ADM-PR - Population Register,Male,Italy,2018,1.2
Bulgaria,ADM-PR - Population Register,Male,Spain,2018,1.2
Bulgaria,ADM-PR - Population Register,Male,United Kingdom,2018,2.9
Bulgaria,ADM-PR - Population Register,Male,Other countries,2018,5.3
Bulgaria,ADM-PR - Population Register,Female,Total,2018,15.4
Bulgaria,ADM-PR - Population Register,Female,France,2018,1.0
Bulgaria,ADM-PR - Population Register,Female,Germany,2018,4.0
Bulgaria,ADM-PR - Population Register,Female,Italy,2018,1.3
Bulgaria,ADM-PR - Population Register,Female,Spain,2018,1.2
Bulgaria,ADM-PR - Population Register,Female,United Kingdom,2018,3.0
Bulgaria,ADM-PR - Population Register,Female,Other countries,2018,5.0
Bulgaria,ADM-PR - Population Register,Total,Total,2020,3.7
Bulgaria,ADM-PR - Population Register,Total,Belgium,2020,0.4
Bulgaria,ADM-PR - Population Register,Total,France,2020,0.2
Bulgaria,ADM-PR - Population Register,Total,Germany,2020,1.5
Bulgaria,ADM-PR - Population Register,Total,Türkiye,2020,0.2
Bulgaria,ADM-PR - Population Register,Total,United Kingdom,2020,0.4
Bulgaria,ADM-PR - Population Register,Total,Other countries,2020,1.0
Bulgaria,ADM-PR - Population Register,Male,Total,2020,2.1
Bulgaria,ADM-PR - Population Register,Male,Belgium,2020,0.3
Bulgaria,ADM-PR - Population Register,Male,France,2020,0.2
Bulgaria,ADM-PR - Population Register,Male,Germany,2020,0.8
Bulgaria,ADM-PR - Population Register,Male,Türkiye,2020,0.1
Bulgaria,ADM-PR - Population Register,Male,United Kingdom,2020,0.2
Bulgaria,ADM-PR - Population Register,Male,Other countries,2020,0.5
Bulgaria,ADM-PR - Population Register,Female,Total,2020,1.5
Bulgaria,ADM-PR - Population Register,Female,Belgium,2020,0.1
Bulgaria,ADM-PR - Population Register,Female,France,2020,0.0
Bulgaria,ADM-PR - Population Register,Female,Germany,2020,0.6
Bulgaria,ADM-PR - Population Register,Female,Türkiye,2020,0.1
Bulgaria,ADM-PR - Population Register,Female,United Kingdom,2020,0.2
Bulgaria,ADM-PR - Population Register,Female,Other countries,2020,0.5
Cameroon,HS - Household Survey,Total,Total,2014,235.5
Cameroon,HS - Household Survey,Male,Total,2014,125.1
Cameroon,HS - Household Survey,Female,Total,2014,110.5
Chile,OE - Segundo Registro de Chilenos en el Exterior,Total,Total,2016,1.7
Chile,OE - Segundo Registro de Chilenos en el Exterior,Male,Total,2016,0.9
Chile,OE - Segundo Registro de Chilenos en el Exterior,Female,Total,2016,0.8
Croatia,ADM - International Migration Statistics,Total,Total,2017,45.4
Croatia,ADM - International Migration Statistics,Male,Total,2017,25.0
Croatia,ADM - International Migration Statistics,Female,Total,2017,20.4
Croatia,ADM - International Migration Statistics,Total,Total,2018,36.4
Croatia,ADM - International Migration Statistics,Total,Austria,2018,2.6
Croatia,ADM - International Migration Statistics,Total,Bosnia and Herzegovina,2018,2.5
Croatia,ADM - International Migration Statistics,Total,Germany,2018,21.6
Croatia,ADM - International Migration Statistics,Total,Ireland,2018,2.0
Croatia,ADM - International Migration Statistics,Total,Serbia,2018,1.3
Croatia,ADM - International Migration Statistics,Total,Other countries,2018,6.4
Croatia,ADM - International Migration Statistics,Male,Total,2018,19.5
Croatia,ADM - International Migration Statistics,Male,Austria,2018,1.3
Croatia,ADM - International Migration Statistics,Male,Bosnia and Herzegovina,2018,1.2
Croatia,ADM - International Migration Statistics,Male,Germany,2018,12.0
Croatia,ADM - International Migration Statistics,Male,Ireland,2018,1.1
Croatia,ADM - International Migration Statistics,Male,Serbia,2018,0.6
Croatia,ADM - International Migration Statistics,Male,Other countries,2018,3.2
Croatia,ADM - International Migration Statistics,Female,Total,2018,17.0
Croatia,ADM - International Migration Statistics,Female,Austria,2018,1.2
Croatia,ADM - International Migration Statistics,Female,Bosnia and Herzegovina,2018,1.3
Croatia,ADM - International Migration Statistics,Female,Germany,2018,9.6
Croatia,ADM - International Migration Statistics,Female,Ireland,2018,1.0
Croatia,ADM - International Migration Statistics,Female,Serbia,2018,0.7
Croatia,ADM - International Migration Statistics,Female,Other countries,2018,3.1
Croatia,ADM - International Migration Statistics,Total,Total,2020,20.9
Croatia,ADM - International Migration Statistics,Total,Austria,2020,2.3
Croatia,ADM - International Migration Statistics,Total,Bosnia and Herzegovina,2020,1.5
Croatia,ADM - International Migration Statistics,Total,Germany,2020,11.4
Croatia,ADM - International Migration Statistics,Total,Serbia,2020,1.0
Croatia,ADM - International Migration Statistics,Total,Switzerland,2020,0.8
Croatia,ADM - International Migration Statistics,Total,Other countries,2020,3.9
Croatia,ADM - International Migration Statistics,Male,Total,2020,10.6
Croatia,ADM - International Migration Statistics,Male,Austria,2020,1.2
Croatia,ADM - International Migration Statistics,Male,Bosnia and Herzegovina,2020,0.8
Croatia,ADM - International Migration Statistics,Male,Germany,2020,5.9
Croatia,ADM - International Migration Statistics,Male,Serbia,2020,0.5
Croatia,ADM - International Migration Statistics,Male,Switzerland,2020,0.4
Croatia,ADM - International Migration Statistics,Male,Other countries,2020,1.8
Croatia,ADM - International Migration Statistics,Female,Total,2020,10.3
Croatia,ADM - International Migration Statistics,Female,Austria,2020,1.0
Croatia,ADM - International Migration Statistics,Female,Bosnia and Herzegovina,2020,0.7
Croatia,ADM - International Migration Statistics,Female,Germany,2020,5.5
Croatia,ADM - International Migration Statistics,Female,Serbia,2020,0.6
Croatia,ADM - International Migration Statistics,Female,Switzerland,2020,0.4
Croatia,ADM - International Migration Statistics,Female,Other countries,2020,2.0
Croatia,ADM - International Migration Statistics,Total,Total,2021,26.0
Croatia,ADM - International Migration Statistics,Total,Austria,2021,3.4
Croatia,ADM - International Migration Statistics,Total,Bosnia and Herzegovina,2021,2.0
Croatia,ADM - International Migration Statistics,Total,Germany,2021,12.9
Croatia,ADM - International Migration Statistics,Total,Serbia,2021,1.1
Croatia,ADM - International Migration Statistics,Total,Switzerland,2021,1.1
Croatia,ADM - International Migration Statistics,Total,Other countries,2021,5.5
Croatia,ADM - International Migration Statistics,Male,Total,2021,13.0
Croatia,ADM - International Migration Statistics,Male,Austria,2021,1.8
Croatia,ADM - International Migration Statistics,Male,Bosnia and Herzegovina,2021,1.1
Croatia,ADM - International Migration Statistics,Male,Germany,2021,6.6
Croatia,ADM - International Migration Statistics,Male,Serbia,2021,0.5
Croatia,ADM - International Migration Statistics,Male,Switzerland,2021,0.5
Croatia,ADM - International Migration Statistics,Male,Other countries,2021,2.7
Croatia,ADM - International Migration Statistics,Female,Total,2021,12.9
Croatia,ADM - International Migration Statistics,Female,Austria,2021,1.6
Croatia,ADM - International Migration Statistics,Female,Bosnia and Herzegovina,2021,0.9
Croatia,ADM - International Migration Statistics,Female,Germany,2021,6.3
Croatia,ADM - International Migration Statistics,Female,Serbia,2021,0.6
Croatia,ADM - International Migration Statistics,Female,Switzerland,2021,0.6
Croatia,ADM - International Migration Statistics,Female,Other countries,2021,2.8
Denmark,ADM-PR - Danish Population Register,Total,Total,2020,59.4
Denmark,ADM-PR - Danish Population Register,Total,Germany,2020,4.0
Denmark,ADM-PR - Danish Population Register,Total,Norway,2020,2.5
Denmark,ADM-PR - Danish Population Register,Total,Poland,2020,2.4
Denmark,ADM-PR - Danish Population Register,Total,Sweden,2020,3.2
Denmark,ADM-PR - Danish Population Register,Total,United Kingdom,2020,2.7
Denmark,ADM-PR - Danish Population Register,Total,Other countries,2020,44.6
Denmark,ADM-PR - Danish Population Register,Male,Total,2020,31.8
Denmark,ADM-PR - Danish Population Register,Male,Germany,2020,1.9
Denmark,ADM-PR - Danish Population Register,Male,Norway,2020,1.0
Denmark,ADM-PR - Danish Population Register,Male,Poland,2020,1.6
Denmark,ADM-PR - Danish Population Register,Male,Sweden,2020,1.6
Denmark,ADM-PR - Danish Population Register,Male,United Kingdom,2020,1.3
Denmark,ADM-PR - Danish Population Register,Male,Other countries,2020,24.3
Denmark,ADM-PR - Danish Population Register,Female,Total,2020,27.7
Denmark,ADM-PR - Danish Population Register,Female,Germany,2020,2.1
Denmark,ADM-PR - Danish Population Register,Female,Norway,2020,1.5
Denmark,ADM-PR - Danish Population Register,Female,Poland,2020,0.7
Denmark,ADM-PR - Danish Population Register,Female,Sweden,2020,1.6
Denmark,ADM-PR - Danish Population Register,Female,United Kingdom,2020,1.4
Denmark,ADM-PR - Danish Population Register,Female,Other countries,2020,20.4
Fiji,"Other - Annual report of tourism and migration, Fiji Bureau of Statistics",Total,Total,2010,4.4
Fiji,"Other - Annual report of tourism and migration, Fiji Bureau of Statistics",Total,Total,2011,4.0
Fiji,"Other - Annual report of tourism and migration, Fiji Bureau of Statistics",Total,Total,2012,3.8
Fiji,OE - Official Estimates,Total,Total,2015,8.5
Fiji,OE - Official Estimates,Total,Total,2016,8.6
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,Total,2017,26.8
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,Total,2017,19.7
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,Total,2017,7.1
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,Total,2018,26.0
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,Australia,2018,5.1
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,Canada,2018,0.1
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,China,2018,2.4
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,New Zealand,2018,3.2
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,United States,2018,1.5
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Total,Other countries,2018,13.9
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,Total,2018,15.6
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,Australia,2018,2.9
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,Canada,2018,0.1
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,China,2018,1.7
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,New Zealand,2018,1.8
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,United States,2018,0.8
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Male,Other countries,2018,8.4
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,Total,2018,10.5
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,Australia,2018,2.2
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,Canada,2018,0.0
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,China,2018,0.7
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,New Zealand,2018,1.4
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,United States,2018,0.7
Fiji,"Other - Annual report of immigration, Fiji Immigration Department",Female,Other countries,2018,5.5
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,Total,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,Australia,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,Kiribati,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,New Zealand,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,Solomon Islands,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,United States,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Total,Other countries,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,Total,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,Australia,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,Kiribati,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,New Zealand,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,Solomon Islands,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,United States,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Male,Other countries,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,Total,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,Australia,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,Kiribati,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,New Zealand,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,Solomon Islands,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,United States,2020,0.0
Fiji,ADM - Immigration Office Records from Arrivals and Departure cards,Female,Other countries,2020,0.0
Finland,ADM-PR - Population Register,Total,Total,2017,10.2
Finland,ADM-PR - Population Register,Male,Total,2017,4.4
Finland,ADM-PR - Population Register,Female,Total,2017,5.7
Finland,ADM-PR - Population Register,Total,Total,2018,11.5
Finland,ADM-PR - Population Register,Total,Germany,2018,0.8
Finland,ADM-PR - Population Register,Total,Spain,2018,0.7
Finland,ADM-PR - Population Register,Total,Sweden,2018,2.5
Finland,ADM-PR - Population Register,Total,United Kingdom,2018,1.3
Finland,ADM-PR - Population Register,Total,United States,2018,0.7
Finland,ADM-PR - Population Register,Total,Other countries,2018,5.6
Finland,ADM-PR - Population Register,Male,Total,2018,5.2
Finland,ADM-PR - Population Register,Male,Germany,2018,0.4
Finland,ADM-PR - Population Register,Male,Spain,2018,0.3
Finland,ADM-PR - Population Register,Male,Sweden,2018,1.1
Finland,ADM-PR - Population Register,Male,United Kingdom,2018,0.5
Finland,ADM-PR - Population Register,Male,United States,2018,0.3
Finland,ADM-PR - Population Register,Male,Other countries,2018,2.7
Finland,ADM-PR - Population Register,Female,Total,2018,6.3
Finland,ADM-PR - Population Register,Female,Germany,2018,0.4
Finland,ADM-PR - Population Register,Female,Spain,2018,0.4
Finland,ADM-PR - Population Register,Female,Sweden,2018,1.4
Finland,ADM-PR - Population Register,Female,United Kingdom,2018,0.8
Finland,ADM-PR - Population Register,Female,United States,2018,0.4
Finland,ADM-PR - Population Register,Female,Other countries,2018,2.9
Finland,ADM-PR - Population Register,Total,Total,2020,8.5
Finland,ADM-PR - Population Register,Total,Germany,2020,0.6
Finland,ADM-PR - Population Register,Total,Spain,2020,0.5
Finland,ADM-PR - Population Register,Total,Sweden,2020,1.7
Finland,ADM-PR - Population Register,Total,United Kingdom,2020,1.0
Finland,ADM-PR - Population Register,Total,United States,2020,0.5
Finland,ADM-PR - Population Register,Total,Other countries,2020,4.3
Finland,ADM-PR - Population Register,Male,Total,2020,3.7
Finland,ADM-PR - Population Register,Male,Germany,2020,0.3
Finland,ADM-PR - Population Register,Male,Spain,2020,0.2
Finland,ADM-PR - Population Register,Male,Sweden,2020,0.7
Finland,ADM-PR - Population Register,Male,United Kingdom,2020,0.4
Finland,ADM-PR - Population Register,Male,United States,2020,0.2
Finland,ADM-PR - Population Register,Male,Other countries,2020,2.0
Finland,ADM-PR - Population Register,Female,Total,2020,4.8
Finland,ADM-PR - Population Register,Female,Germany,2020,0.3
Finland,ADM-PR - Population Register,Female,Spain,2020,0.3
Finland,ADM-PR - Population Register,Female,Sweden,2020,1.0
Finland,ADM-PR - Population Register,Female,United Kingdom,2020,0.7
Finland,ADM-PR - Population Register,Female,United States,2020,0.3
Finland,ADM-PR - Population Register,Female,Other countries,2020,2.2
Finland,ADM-PR - Population Register,Total,Total,2021,8.2
Finland,ADM-PR - Population Register,Total,Germany,2021,0.5
Finland,ADM-PR - Population Register,Total,Spain,2021,0.6
Finland,ADM-PR - Population Register,Total,Sweden,2021,1.6
Finland,ADM-PR - Population Register,Total,United Kingdom,2021,0.8
Finland,ADM-PR - Population Register,Total,United States,2021,0.6
Finland,ADM-PR - Population Register,Total,Other countries,2021,4.1
Finland,ADM-PR - Population Register,Male,Total,2021,3.7
Finland,ADM-PR - Population Register,Male,Germany,2021,0.2
Finland,ADM-PR - Population Register,Male,Spain,2021,0.3
Finland,ADM-PR - Population Register,Male,Sweden,2021,0.7
Finland,ADM-PR - Population Register,Male,United Kingdom,2021,0.3
Finland,ADM-PR - Population Register,Male,United States,2021,0.3
Finland,ADM-PR - Population Register,Male,Other countries,2021,2.0
Finland,ADM-PR - Population Register,Female,Total,2021,4.5
Finland,ADM-PR - Population Register,Female,Germany,2021,0.3
Finland,ADM-PR - Population Register,Female,Spain,2021,0.3
