Reference area,Source,Sex,Place of birth,Time,Total,15-24,25-54,55-64,65+
Belgium,LFS - EU Labour Force Survey,Total,Total,2020,9446.9,1298.5,4503.5,1523.7,2121.2
Belgium,LFS - EU Labour Force Survey,Total,Total,2021,9502.4,1307.8,4501.1,1536.2,2157.3
Belgium,LFS - EU Labour Force Survey,Total,Total,2022,9591.9,1327.5,4522.5,1545.8,2196.1
Belize,LFS - Labour Force Survey,Total,Total,2014,229.7,71.1,127.0,16.4,15.3
Belize,LFS - Labour Force Survey,Total,Total,2015,236.4,73.6,130.3,17.2,15.2
Belize,LFS - Labour Force Survey,Total,Total,2016,242.8,75.8,133.7,17.6,15.7
Belize,LFS - Labour Force Survey,Total,Total,2017,249.4,78.0,137.2,19.1,15.0
Belize,LFS - Labour Force Survey,Total,Total,2018,255.0,80.1,140.1,19.2,15.7
Belize,LFS - Labour Force Survey,Total,Total,2020,297.1,81.4,160.9,30.0,24.9
Benin,HIES - EnquÃÂªte de Suivi de l'EnquÃÂªte Modulaire et IntÃÂ©grÃÂ©e sur les Conditions de Vie des MÃÂ©nages,Total,Total,2011,4245.4,1326.2,2334.2,298.4,286.7
Benin,HIES - EnquÃÂªte de Suivi de l'EnquÃÂªte Modulaire et IntÃÂ©grÃÂ©e sur les Conditions de Vie des MÃÂ©nages,Total,Total,2018,6060.0,2002.7,3379.5,384.3,293.5
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2011,2581.1,405.8,1266.8,409.0,499.6
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2012,2581.0,412.3,1254.5,396.5,517.7
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2013,2615.0,424.0,1243.4,427.2,520.4
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2014,2579.9,399.0,1182.7,452.9,545.3
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2015,2588.6,395.8,1194.5,454.9,543.4
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2016,2494.4,370.9,1103.7,471.6,548.2
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2017,2427.0,341.8,1026.7,478.4,580.2
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2018,2405.2,342.4,994.8,478.7,589.3
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2019,2278.1,292.1,885.2,479.5,621.3
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2020,2925.9,416.1,1423.5,503.7,582.8
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2021,2916.0,401.2,1416.8,502.0,596.0
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2022,2899.7,385.0,1412.6,498.5,603.6
Brazil,HS - Pesquisa Nacional por Amostra de DomicÃÂ­lios,Total,Total,2011,149795.3,33077.5,83744.6,16877.1,16096.1
Brazil,HS - Pesquisa Nacional por Amostra de DomicÃÂ­lios,Total,Total,2012,151887.7,32916.1,84518.3,17473.9,16979.4
Brazil,HS - Pesquisa Nacional por Amostra de DomicÃÂ­lios,Total,Total,2013,156596.6,33348.0,86678.3,18681.0,17889.3
Brazil,HS - Pesquisa Nacional por Amostra de DomicÃÂ­lios,Total,Total,2014,159243.4,33229.1,87684.1,19460.1,18870.0
Brazil,HS - Pesquisa Nacional por Amostra de DomicÃÂ­lios,Total,Total,2015,161792.4,33069.8,88446.3,20064.8,20211.4
Brunei Darussalam,LFS - Labour Force Survey,Total,Total,2014,310.5,74.3,185.2,31.6,19.4
Brunei Darussalam,LFS - Labour Force Survey,Total,Total,2016,337.9,79.4,200.7,35.5,22.3
Brunei Darussalam,LFS - Labour Force Survey,Total,Total,2017,328.5,74.7,189.8,39.9,24.1
Brunei Darussalam,LFS - Labour Force Survey,Total,Total,2018,337.9,79.4,200.7,35.5,22.3
Brunei Darussalam,LFS - Labour Force Survey,Total,Total,2019,369.8,76.3,222.3,43.1,28.2
Brunei Darussalam,LFS - Labour Force Survey,Total,Total,2020,359.2,74.1,217.3,39.1,28.7
Brunei Darussalam,PC - Population Census,Total,Total,2021,350.3,70.9,213.8,37.8,27.9
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2011,6363.2,861.2,3085.9,1062.8,1353.3
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2012,6300.6,814.7,3061.4,1047.5,1377.1
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2013,6254.5,774.5,3048.6,1036.0,1395.3
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2014,6216.7,736.1,3037.7,1021.8,1421.1
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2015,6171.9,704.2,3021.4,1001.0,1445.2
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2016,6120.3,674.5,2999.5,984.9,1461.5
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2017,6064.9,649.1,2968.5,977.7,1469.7
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2018,6012.0,630.1,2935.8,965.1,1480.9
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2019,5966.3,617.9,2902.3,953.9,1492.2
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2020,5923.6,612.6,2862.4,942.1,1506.5
Bulgaria,PC - Population Census,Total,Total,2021,5602.1,553.0,2596.6,919.8,1532.7
Bulgaria,LFS - EU Labour Force Survey,Total,Total,2022,5817.5,623.8,2806.8,907.6,1479.2
Burkina Faso,LFS - EnquÃÂªte Nationale sur l'emploi et le secteur informel,Total,Total,2015,9727.0,3184.2,5151.4,713.1,678.3
Burkina Faso,LFS - EnquÃÂªte RÃÂ©gionale IntÃÂ©grÃÂ©e sur l'Emploi et le Secteur Informel,Total,Total,2018,10065.4,3008.5,5704.6,705.7,646.5
Burkina Faso,PC - Recensements de Population,Total,Total,2019,9955.1,3410.2,5254.0,672.7,618.1
Burundi,HIES - Living Standards Measurement Survey,Total,Total,2014,4730.6,1612.4,2500.4,359.4,258.4
Burundi,HS - EnquÃÂªte rapide sur les Conditions de Vie des MÃÂ©nages au Burundi,Total,Total,2017,6021.4,2065.0,3115.6,477.7,363.2
Burundi,HIES - Living Standards Measurement Survey,Total,Total,2020,6371.4,2113.4,3332.6,543.8,381.7
Cambodia,HIES - Household Socio-Economic Survey,Total,Total,2011,9653.5,3053.4,5194.4,789.8,615.9
Cambodia,LFS - Labour Force Survey,Total,Total,2012,10749.9,3414.9,5674.9,917.9,742.3
Cambodia,HS - Inter-Censal Survey,Total,Total,2013,10355.2,0.0,0.0,0.0,0.0
Cambodia,PC - Population Census,Total,Total,2019,10981.1,2664.5,6297.6,1106.5,912.4
Cambodia,HIES - Household Socio-Economic Survey,Total,Total,2021,11845.8,2885.1,6706.9,1233.2,1020.6
Canada,LFS - Labour Force Survey,Total,Total,2011,27913.1,4464.7,14443.9,4328.3,4676.2
Canada,LFS - Labour Force Survey,Total,Total,2012,28283.2,4490.6,14480.8,4425.7,4886.1
Canada,LFS - Labour Force Survey,Total,Total,2013,28647.2,4498.1,14515.6,4534.5,5099.0
Canada,LFS - Labour Force Survey,Total,Total,2014,28980.5,4474.7,14557.3,4646.1,5302.4
Canada,LFS - Labour Force Survey,Total,Total,2015,29279.7,4432.4,14586.0,4758.2,5503.1
Canada,LFS - Labour Force Survey,Total,Total,2016,29587.1,4386.3,14629.3,4870.3,5701.2
Canada,LFS - Labour Force Survey,Total,Total,2017,29764.3,4386.9,14562.2,4991.1,5824.1
Canada,LFS - Labour Force Survey,Total,Total,2018,30290.4,4351.8,14748.4,5065.9,6124.3
Canada,LFS - Labour Force Survey,Total,Total,2019,30694.7,4482.8,14772.4,5160.4,6279.1
Canada,LFS - Labour Force Survey,Total,Total,2020,31052.6,4480.6,14857.4,5196.5,6518.1
Canada,LFS - Labour Force Survey,Total,Total,2021,31326.1,4455.8,14916.7,5195.4,6758.1
Cabo Verde,LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,Total,Total,2015,275.6,84.8,138.9,23.6,28.3
Cabo Verde,LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,Total,Total,2018,399.6,99.1,230.2,37.4,32.9
Cabo Verde,LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,Total,Total,2020,412.1,104.8,231.5,42.7,33.1
Chad,HIES - EnquÃÂªte Modulaire et IntÃÂ©grÃÂ©e sur les Conditions de Vie des MÃÂ©nages,Total,Total,2018,7247.0,2463.1,3874.6,501.3,407.9
Chile,LFS - Encuesta Nacional de Empleo,Total,Total,2011,13479.8,2899.5,10580.3,0.0,0.0
Chile,LFS - Encuesta Nacional de Empleo,Total,Total,2012,13686.8,2888.3,10798.5,0.0,0.0
Chile,LFS - Encuesta Nacional de Empleo,Total,Total,2013,13899.6,2879.1,11020.5,0.0,0.0
Chile,LFS - Encuesta Nacional de Empleo,Total,Total,2014,14118.7,2879.9,11238.8,0.0,0.0
Chile,LFS - Encuesta Nacional de Empleo,Total,Total,2015,14346.3,2857.8,11488.5,0.0,0.0
Chile,LFS - Encuesta Nacional de Empleo,Total,Total,2016,14594.2,2793.9,11800.3,0.0,0.0
Chile,PC - Censo de PoblaciÃÂ³n y viVienda,Total,Total,2017,14008.5,2626.4,7496.0,1888.7,1997.4
Chile,PC - Censo de PoblaciÃÂ³n y viVienda,Total,Total,2021,15808.2,2652.6,8559.6,2162.7,2433.3
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,Total,2014,16862.4,2951.1,9581.0,2139.1,2191.2
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,Total,2015,17001.3,3002.2,9573.7,2155.2,2270.2
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,Total,2016,34833.2,8259.1,18892.7,3815.2,3866.3
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,Total,2017,35408.3,8262.4,19167.9,3982.0,3995.9
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,Total,2018,35978.4,8296.4,19406.6,4161.4,4114.1
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,Total,2022,38996.6,8121.8,20898.5,4893.2,5083.2
Comoros,LFS - EnquÃÂªte Nationale sur l'Emploi et le Secteur Informel,Total,Total,2014,424.7,128.8,223.1,34.5,38.3
Comoros,LFS - EnquÃÂªte Nationale sur l'Emploi et le Secteur Informel,Total,Total,2021,493.0,153.0,254.5,38.3,47.2
"Congo, Democratic Republic of the",HIES - EnquÃÂªte par Grappes ÃÂ  Indicateurs,Total,Total,2020,49727.9,17287.9,26585.8,3582.1,2272.1
Cook Islands,HIES - Household Income and Expenditure Survey,Total,Total,2016,11.8,2.3,5.9,1.6,2.0
Cook Islands,LFS - Labour Force Survey,Total,Total,2019,11.4,2.4,5.6,1.8,1.7
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2011,3459.1,839.6,1830.1,391.5,397.9
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2012,3526.2,819.9,1880.7,397.3,428.3
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2013,3589.7,847.4,1873.6,439.6,429.1
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2014,3653.0,839.4,1945.3,450.2,418.0
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2015,3716.4,846.1,1967.0,457.7,445.6
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2016,3778.4,853.4,1977.1,465.6,482.4
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2017,3836.0,835.4,1982.2,490.3,528.1
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2018,3889.8,805.8,1995.8,528.8,559.4
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2019,3943.7,787.4,2016.7,564.4,575.2
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2020,3996.5,771.1,2018.3,589.6,617.4
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2021,4049.1,792.5,2050.8,576.6,629.2
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2022,4100.5,784.6,2072.3,592.6,650.9
Croatia,LFS - EU Labour Force Survey,Total,Total,2011,3631.3,504.3,1777.4,588.0,761.5
Croatia,LFS - EU Labour Force Survey,Total,Total,2012,3626.7,501.4,1761.4,593.8,770.1
Croatia,LFS - EU Labour Force Survey,Total,Total,2013,3622.5,497.2,1747.4,599.0,778.9
Croatia,LFS - EU Labour Force Survey,Total,Total,2014,3615.1,492.2,1730.7,603.1,789.2
Croatia,LFS - EU Labour Force Survey,Total,Total,2015,3586.5,482.8,1701.6,601.2,800.9
Croatia,LFS - EU Labour Force Survey,Total,Total,2016,3565.5,473.7,1679.1,600.4,812.3
Croatia,LFS - EU Labour Force Survey,Total,Total,2017,3546.4,464.9,1655.7,599.7,826.1
Croatia,LFS - EU Labour Force Survey,Total,Total,2018,3531.0,456.2,1633.2,599.2,842.4
Croatia,LFS - EU Labour Force Survey,Total,Total,2019,3519.3,447.7,1611.4,598.8,861.4
Croatia,LFS - EU Labour Force Survey,Total,Total,2020,3511.6,439.5,1590.5,598.5,883.1
Croatia,LFS - EU Labour Force Survey,Total,Total,2021,3507.9,431.4,1570.3,598.4,907.8
Croatia,LFS - EU Labour Force Survey,Total,Total,2022,3508.2,423.6,1550.7,598.3,935.5
Cyprus,LFS - Labour Force Survey,Total,Total,2011,678.0,104.1,373.0,94.2,106.7
Cyprus,LFS - Labour Force Survey,Total,Total,2012,688.6,106.1,378.5,95.6,108.3
Cyprus,LFS - Labour Force Survey,Total,Total,2013,685.6,105.4,377.1,95.2,107.9
Cyprus,LFS - Labour Force Survey,Total,Total,2014,678.1,104.6,372.8,94.1,106.6
Cyprus,LFS - Labour Force Survey,Total,Total,2015,675.8,98.3,364.0,96.3,117.2
Cyprus,LFS - Labour Force Survey,Total,Total,2016,680.8,95.3,362.7,97.5,125.3
Cyprus,LFS - Labour Force Survey,Total,Total,2017,692.5,96.6,367.2,100.1,128.4
Cyprus,LFS - Labour Force Survey,Total,Total,2018,701.2,96.5,369.6,102.2,132.9
Cyprus,LFS - Labour Force Survey,Total,Total,2019,711.8,93.3,375.0,103.8,139.8
Cyprus,LFS - Labour Force Survey,Total,Total,2020,720.4,91.7,381.7,105.6,141.3
Cyprus,LFS - Labour Force Survey,Total,Total,2021,731.3,93.4,389.8,105.6,142.4
Cyprus,LFS - Labour Force Survey,Total,Total,2022,742.5,94.6,396.1,107.3,144.4
Czechia,LFS - Labour Force Sample Survey,Total,Total,2011,8964.7,1234.3,4564.8,1496.3,1669.2
Czechia,LFS - Labour Force Sample Survey,Total,Total,2012,8964.6,1192.2,4558.2,1478.2,1736.1
Czechia,LFS - Labour Force Sample Survey,Total,Total,2013,8951.5,1148.3,4552.9,1452.8,1797.4
Czechia,LFS - Labour Force Sample Survey,Total,Total,2014,8932.6,1105.6,4553.2,1422.4,1851.4
Czechia,LFS - Labour Force Sample Survey,Total,Total,2015,8935.7,1067.2,4568.1,1390.9,1909.5
Czechia,LFS - Labour Force Sample Survey,Total,Total,2016,8928.7,1030.5,4578.8,1359.1,1960.3
Czechia,LFS - Labour Force Sample Survey,Total,Total,2017,8929.2,999.6,4587.3,1329.8,2012.4
Czechia,LFS - Labour Force Sample Survey,Total,Total,2018,8941.8,976.5,4590.9,1311.5,2062.8
Czechia,LFS - Labour Force Sample Survey,Total,Total,2019,8963.5,963.3,4586.0,1306.2,2108.0
Czechia,LFS - Labour Force Sample Survey,Total,Total,2020,8984.6,963.8,4572.6,1302.0,2146.2
Czechia,LFS - Labour Force Sample Survey,Total,Total,2021,8974.6,976.9,4544.0,1288.9,2164.8
Czechia,LFS - Labour Force Sample Survey,Total,Total,2022,8832.1,987.7,4394.4,1270.4,2179.5
CÃÂ´te d'Ivoire,LFS - EnquÃÂªte RÃÂ©gionale IntÃÂ©grÃÂ©e sur l'Emploi et le Secteur Informel,Total,Total,2017,14207.4,4432.5,8322.9,857.9,594.0
CÃÂ´te d'Ivoire,LFS - EnquÃÂªte Nationale sur la Situacion de l'Emploi,Total,Total,2019,14481.0,4441.4,8516.4,903.8,619.5
Denmark,LFS - EU Labour Force Survey,Total,Total,2011,4573.6,688.1,2219.1,705.7,960.7
Denmark,LFS - EU Labour Force Survey,Total,Total,2012,4603.5,700.2,2212.1,698.3,992.9
Denmark,LFS - EU Labour Force Survey,Total,Total,2013,4634.5,709.9,2211.0,694.1,1019.5
Denmark,LFS - EU Labour Force Survey,Total,Total,2014,4672.2,716.3,2217.0,693.0,1045.9
Denmark,LFS - EU Labour Force Survey,Total,Total,2015,4714.0,723.0,2227.1,693.3,1070.6
Denmark,LFS - EU Labour Force Survey,Total,Total,2016,4762.4,728.2,2241.7,699.4,1093.0
Denmark,LFS - EU Labour Force Survey,Total,Total,2017,4798.2,729.6,2249.0,705.4,1114.2
Denmark,LFS - EU Labour Force Survey,Total,Total,2018,4829.5,725.1,2258.0,712.2,1134.2
Denmark,LFS - EU Labour Force Survey,Total,Total,2019,4857.2,720.7,2256.9,726.8,1152.8
Denmark,LFS - EU Labour Force Survey,Total,Total,2020,4874.0,711.3,2247.3,741.2,1174.3
Denmark,LFS - EU Labour Force Survey,Total,Total,2021,4896.1,703.5,2243.8,753.6,1195.2
Denmark,LFS - EU Labour Force Survey,Total,Total,2022,4944.5,706.4,2253.6,770.4,1214.1
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2015,7180.7,1864.9,3762.9,736.1,816.8
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2016,7361.4,1920.6,3850.1,751.1,839.6
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2017,7462.4,1896.0,3924.0,763.8,878.6
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2018,7561.2,1863.3,3960.3,813.6,924.1
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2019,7639.0,1846.9,4031.4,804.4,956.3
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2020,7748.2,1830.6,4052.4,853.3,1011.9
Dominican Republic,LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Total,Total,2021,7814.7,1814.6,4034.1,897.0,1069.0
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2011,10503.0,2675.8,5134.1,1242.5,1450.6
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2012,10766.4,2679.1,5245.7,1303.1,1538.5
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2013,11095.1,2824.6,5552.5,1267.6,1450.3
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2014,11224.9,2951.4,5931.0,1116.9,1225.6
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2015,11299.8,2948.9,6138.6,1099.8,1112.6
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2016,11589.7,3001.4,6291.0,1136.8,1160.5
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2017,11849.8,3038.1,6403.3,1191.7,1216.7
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2018,12096.4,3052.3,6330.1,1304.9,1409.2
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2019,12336.8,3036.5,6347.7,1397.3,1555.5
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2021,12671.6,3214.2,6476.8,1405.3,1575.2
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2022,12858.4,3167.5,6542.8,1490.8,1657.4
Egypt,LFS - Labour Force Sample Survey,Total,Total,2011,54286.8,15949.0,29457.3,5442.4,3438.1
Estonia,LFS - Labour Force Survey,Total,Total,2011,1123.3,171.0,552.7,167.6,232.0
Estonia,LFS - Labour Force Survey,Total,Total,2012,1115.8,161.7,549.8,169.6,234.6
Estonia,LFS - Labour Force Survey,Total,Total,2013,1110.6,153.7,548.3,170.6,238.1
Estonia,LFS - Labour Force Survey,Total,Total,2014,1105.0,144.4,547.7,171.1,241.8
Estonia,LFS - Labour Force Survey,Total,Total,2015,1101.1,135.8,547.5,171.2,246.5
Estonia,LFS - Labour Force Survey,Total,Total,2016,1101.8,131.8,547.4,172.2,250.3
Estonia,LFS - Labour Force Survey,Total,Total,2017,1099.5,127.4,544.9,172.8,254.5
Estonia,LFS - Labour Force Survey,Total,Total,2018,1102.2,125.1,545.2,173.4,258.4
Estonia,LFS - Labour Force Survey,Total,Total,2019,1105.3,123.9,545.7,173.8,261.8
Estonia,LFS - Labour Force Survey,Total,Total,2020,1108.4,124.1,544.6,173.4,266.3
Estonia,PC - Population Census,Total,Total,2021,989.1,128.6,543.2,170.1,147.2
Estonia,LFS - Labour Force Survey,Total,Total,2022,1098.4,124.8,539.4,168.8,265.4
Eswatini,LFS - Labour Force Survey,Total,Total,2016,738.8,245.3,380.6,57.5,55.4
Eswatini,LFS - Labour Force Survey,Total,Total,2021,790.9,258.6,418.4,57.6,56.2
Ethiopia,LFS - National Labor Force Survey,Total,Total,2021,56498.6,18150.7,30545.2,3685.8,4117.0
